Kelime,Ağırlık
00,-0.09373497497728005
00 de,-0.15600607241418127
01,-0.2958673622270792
02,-0.17405349100314896
03,-0.18121463564504806
04,-0.24617716929025277
06,-0.31770789531796956
08,-0.1333469093311248
09,-0.2730434181242228
10,-0.561820695835612
10 15,-0.0022434909322343014
10 dakika,-0.2824679976540766
10 dk,-0.0831721030370916
10 gün,0.07260985232504712
10 günde,-0.26771965591962715
10 gündür,0.34423951762213467
10 kere,-0.22757523365783972
10 numara,-0.5885923332364901
10 yıl,0.23689706386778045
10 yıldır,-0.027649541140995104
10 yıllık,-0.08834649959147807
10 üzerinden,-0.0495834741589905
100,0.800838961120198
100 tl,0.0958082460709641
1000,-0.16355155876096508
1000w,0.01607531554740339
1080p,0.24648394967200424
11,0.18090539090238672
110,0.1598728043181362
1100,-0.07392100929202389
12,0.036430934824660255
120,0.06668932473690613
1200,0.32438009592523204
128,-0.16587156762021024
13,-0.39411199251048995
130,0.1737992591179064
14,0.4105183210619665
14 gün,-0.14863850915948562
140,-0.04430754227928447
144hz,0.01643995060227495
15,-0.23507917694685884
15 20,-0.03461911253053789
15 dakika,-0.015931524932744454
15 dk,0.03631357193189864
15 gunde,-0.016698131413365354
15 gün,0.11907648161824674
15 gündür,-0.18076779570532173
150,0.4626057524394909
1500,0.03873661420762918
16,0.45966323486490523
16 gb,0.3439950143159607
1600,-0.3131801130275357
16gb,0.11387616386045361
17,-0.048683797532509905
18,0.6230736532874913
180,0.25909201979439206
1800,0.17562945615089948
1800 watt,0.32371550038238245
19,-0.31594030856362204
1ay,-0.10712753039270256
1gb,-0.1713815163810112
1ms,0.26272298628659063
1tb,-0.04232744428895743
20,0.45345905250109053
20 dk,0.19091213692678058
20 gün,0.06416218196429321
20 günde,-0.23017717387730985
200,0.07578635952558943
200 tl,-0.04049273458123513
2000,-0.30350460032814597
2011,-0.11824839876314605
2013,-0.3493245963072074
2014,-0.2927081657084132
2016,0.3251325346537976
2017,0.24428674825768273
2017 de,0.34358391085410117
2018,-0.040188751369949795
2018 tarihinde,-0.16345286687685076
2019,-0.08109787504951763
2019 tarihinde,-0.14078019209044484
2020,-0.17551505666828443
21,-0.13069825830913318
22,0.18273459105301632
23,0.1259787807247302
24,-0.0955485075161404
24 saat,-0.35531150517661875
24 saatte,0.24419048546062144
240,0.15703528335249034
2400,-0.1503304369324906
25,0.6766485265699597
250,-0.17160284756597136
26,0.5363815233847726
27,0.10034269359395791
28,0.013750385189444039
29,-0.09003251930159854
2gb,0.2736554337255629
30,0.05204478696378482
30 dk,-0.16362930594288383
30 tl,-0.47047731833355366
300,0.3314792142289852
300 tl,0.029577151935538712
3000,0.1817918291326671
32,0.13346234478379604
32 gb,0.3895772823327539
330,-0.10219499743475238
35,0.051564054353985964
350,-0.005393373484752307
3d,0.15315240627126964
40,-0.21153450536497043
40 tl,0.25632860111838784
400,0.3822771098985346
4000,-0.21738146134601347
45,-0.1679916234154189
45 50,-0.23037318140723254
49,-0.06337788266057544
4gün,-0.06257896145879166
4k,0.8352746965340305
50,-0.24711903667350413
50 tl,-0.1681090536081463
500,0.003027876400222345
500 tl,-0.04847811441603986
5000,0.10988649443131306
50tl,-0.12667552149890793
55,0.33014685841456576
5600,-0.0968968774435924
5800,-0.04369640869833175
5g,0.5167003846971012
5ghz,0.4685079773085468
60,-0.026892080567527343
60 tl,0.011597251323132711
600,0.18703686641459544
600 tl,0.05079977812892287
64,-0.2957741399781682
64 gb,-0.20167478205198286
65,0.1512836928277148
6s,0.00651234158414278
70,-0.005805536009756588
70 80,0.08965045599322619
700,-0.26846248882392426
75,-0.12503296956577473
750,-0.026570441933971928
80,-0.010447390364556044
800,-0.07705642162282676
8217,-0.029413834072793705
90,-0.1239902913515672
90 tl,0.033697934005823986
95,0.08867056066247152
99,-0.36969132396482696
a70,-0.4936060056090093
abartı,-0.08803054998860212
abartılacak,0.2836775896373966
abartıldığı,0.07308542493796916
abartıldığı kadar,-0.04230673343512036
abartılı,0.7287387842289685
abi,-0.14080376962432609
ablama,-0.21492113118941758
ac,0.08110704974126844
acaba,0.2848718575573766
acayip,-0.13220275806428694
acik,-0.024529477439494456
acil,-0.02540500777061626
acilmiyor,0.24647360931341072
aciyor,-0.13806573238598605
acma,-0.06744252244111204
acısından,-0.19683272579067768
adam,-0.6035544281497169
adam gibi,-0.46579689853681805
adamlar,-0.26539399385919904
adaptör,0.2787952469831307
adaptörü,-0.18486409676572133
ade,-0.5057049531495798
ade ettim,-0.19998282333117806
adet,-0.23611057892121037
adet aldım,0.46510184556518
adet almıştım,0.07673916297076595
adet daha,-0.1464863258525272
adet vida,0.0984165842784418
adet ölü,-0.17800546994427444
adeta,0.043581746889485476
adi,-0.2553206862105924
adlı,0.24487259368754902
adres,-0.25508290030517
adres güvenilir,-0.0504280832754091
adrese,0.06595473791859392
adresi,-0.21461627985539475
adresime,-0.11135488088333813
adsl,-0.0919869963196651
adı,-0.5262145044017922
adım,-0.2569062313437185
adına,-0.2695592435597049
agir,0.13283337133443157
aile,-0.1423681418159895
aile için,-0.15371538165639156
ailecek,0.3378751418450309
ailesine,-0.12670044733908728
airties,-0.07660375507628621
ait,0.36452961110554766
akg,-0.21078711997207653
akilli,0.3107483080006783
akitiyor,0.06754964199419751
aklı,-0.11742385301363868
aklı olan,-0.11031205603760617
aklım,0.08683445667747136
aklınıza,-0.2755443284690471
akmış,0.2960146582956154
aksam,0.2952257245896677
aksamlar,0.08714704136251109
aksamları,-0.2432577336540808
aksamı,0.14253141735859123
aksesuar,-0.34426589795715834
aksesuarları,-0.07878065122067714
aksi,0.3291043144176157
aksi halde,0.3544063203198191
aktarmak,0.23393133884399503
aktarım,0.30162148100585556
aktif,0.45393795307049045
akıllı,0.06526001201511711
akım,0.09322256796935734
akıtma,-0.45835047228535303
akıtmaya,0.05280459025395654
akıtıyor,-0.5676130590867109
akıyor,-0.15670144363124497
akşam,0.15857538539233776
akşama,-0.029750415107705038
akşamları,-0.4991341040753305
al,-0.0694392844929594
alabi,0.21169918835902596
alabildim,-0.35684795173208783
alabileceğiniz,0.5098284509321056
alabileceğiniz bir,0.24176138106645803
alabilir,0.18234517840912945
alabilirler,0.0418714086249841
alabilirsiniz,-0.49623988099449406
alacak,-0.2739090969779876
alacak arkadaşlar,-0.2020194830255532
alacak arkadaşlara,0.07034491537088511
alacak olan,-0.08183430936547591
alacak olanlar,0.024034072424153168
alacak olanlara,-0.23314443796767598
alacaklar,-0.01766079811886365
alacaklara,-0.14925066208848742
alacaklara tavsiye,-0.1548087294552392
alacaksaniz,0.12561085934824773
alacaksanız,0.30209309370597986
alacaksınız,-0.1462112821991589
alacaktım,0.1176598185160405
alacam,0.03357417189171942
alacağım,0.2472903987102749
alacağız,-0.16552738593008728
alaka,-0.007279475191900945
alakalı,-0.10912277099427328
alakasi,-0.1734751280590844
alakasi yok,-0.27103420743839574
alakası,0.026631592624726353
alakası yok,-0.1419666847802489
alakasız,-0.16441969303099374
alali,-0.3085665290208216
alali ay,-0.12440677170858262
alalı,-0.8387041115606415
alalı ay,-0.36138508018100407
alalı bir,-0.16183709898732657
alalı daha,-0.07256682693550867
alalı hafta,-0.22915785753216536
alalı yaklaşık,0.0164185627381848
alalı yıl,-0.11226827088267959
alalım,0.03048791115983392
alamadım,0.8104189252071
alamıyor,-0.006053281192668753
alamıyorum,-0.32776141664009695
alan,-0.579586764488075
alana,0.3767375940291917
alanda,-0.017045849352244485
alanlar,0.5207728408153558
alanı,0.23853923682341352
alarak,0.060329722402844066
alayım,0.12491560968413154
alaşehir,-0.09124730285269203
aldanarak,-0.17365923591333357
aldanarak aldım,-0.17365923591333357
aldanmayin,0.01576562140768738
aldanmayın,-0.14643354974762438
aldanıp,0.5800607172109574
aldanıp aldım,0.48104172425353936
aldi,0.07879972490002046
aldigim,-0.03668209296370927
aldigima,-0.21754723958378153
aldigimda,0.4739236058582866
aldik,-0.028821658373397948
aldim,0.19193173245259668
aldim ama,0.26590411950259385
