Görüş,Durum
ses kalitesi ve ergonomisi rezalet, sony olduğu için aldım ama 4'de 1 fiyatına çin replika ürün alsaydım çok çok daha iyiydi, kesinlikle tavsiye etmiyorum.,0
hizli teslimat tesekkürler,2
ses olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi çok rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,1
geldi bigün kullandık hemen bozoldu hiçtavsiye. etmem,0
Kulaklığın sesi kaliteli falan değil. Aleti öve öve bitiremeyen yorumlar şüpheli. Tizler yok gibi ve olan da boğuk çıkıyor. Bas, kaba saba, ben buradayım diyor ama kalite yok. İyi ses arayanlara tavsiye etmem. Hayatımda aldığım ilk Snopy marka üründü, onu da bazı yorumlara güvenerek aldım ve pişman oldum. Hepsiburada'nın sahte yorumlara karşı önlem alması gerekiyor artık.,0
Giriş seviyesindeki kullanıcılar için kabul edilebilir sonuçlar veren bir lens, fokus motoru ve makro çekimleri kaliteli sonuçlar veriyor. Şunu da belirtmek lazım ki belli bir süre kullandıktan sonra daha kaliteli bir lens ihtiyacı hissedeceksiniz.,2
kullanisli baya,1
Dezavantajlar : Pahalı ürün<br />Merhabalar bu lens başka yerlerde 327 tl ile 389 tl arası satılıyor neden Mediamarkta pahalı fiyat düşürürseniz sizden alacağım,2
ÜRÜN GÜZEL BU PARALARA BAŞKA BULAMAZSINIZ,2
Tasarım ve kalite iyi olmasına rağmen yazma hızı oldukça düşük kalıyor.,2
Çok değil çekim gücü az olduğu için 3 puan,2
İki kere aldım ikisindede gelen jöle kutusu kırılmış ve içinde jöle paketin içine yayılmıştı.sorun aras kargo ise başka kargo şirketi ile gönderin..,0
Klavye tuşları basmakla basmamak arasında kalıyor. Mouse ara sıra takılma yapıyor. Başka da bir şey yok.,2
WPA2 ile sorun yaşayanlar eğer masaüstü bilgisayarını kablosuz ağ adaptörü ile kablosuz modeme bağlanmaya çalışıyorsa ağ adaptörünün özelliklerinden (Ağ Bağlantılarımdan kablosuz ağ adaptörüne sağ tıklayıp, özellikler menüsünden güvenlik bölümünden) şifrelemeyi WPA2-PSK seçmeliler.,0
Ürün pompasız geliyor. Onun dışında güzel ürün. Pompası olmadığı için 2 yıldız kırdım. Mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.,2
bu ürünü geçen sene almıştım çok fazla kullanmamama rağmen orta ısıtıcısı bozuldu tavsiye etmem,0
Mukemmel bir ürün kesinlikle alın,1
Ürünü genellikle oyun oynayan oğlum için aldım. SD kart takılabildiği için hafızayı artırabileceğimi düşünmüştüm. Bu nedenle ürünle birlikte 16 GB de hafıza kartı aldım. Ancak ürünü kullandıkça gördüm ki hafıza kartı, pratikte pek bir işe yaramıyor. Şöyle ki, android uygulamaların hemen hemen hepsi, kurulumda öncelikle telefon hafızasına kuruluyor. Tabletin ayarlar kısmında uygulama taşı diye bir özellik var ama yine android uygulamalarının büyük çoğunluğu hafıza karta taşınamıyor. 8 GB hafızanız dolduğundaki çok çabuk doluyor, yeni uygulama yüklemek için eskilerden silmeniz gerekiyor. Özet olarak 16 GB kart takınca cihaz otomatikman 24 GB olmuyor. O şekilde yapabilmek için ürüne root yapmanız gerekiyor. Benim için hafıza önemliydi ve bu nedenle de ürünü iade ettim. Teşekkürler hepsiburada.com,0
Telefonu bir süredir kullanıyorum. Üzerinde bir çizik bilek olmamasına rağmen, konuşurken ekran karardı. Yetkili servis içeriden ekran çatlamış, garanti dışı dedi. Nasıl oldu anlamadım. Hiçbir hasar yok darbe yok, görünmeyen bir yerde ekran çatlıyor, ilginç.,0
Berbat bir dizayn. Her yerinde açıklık var, aldığı havanını yarısını içeri verir. Berbat kötü.,0
Çok hızlı bir şekilde elime geldi akabinde evet oldukça sesli ama elektrik süpürgesi kadar iyi çekim gücü var pratik tavsiye ederim,2
tost yaparken kasar peynirini tam eritmiyor,0
Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza da güvenilir bu arada,1
İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,1
Avantajlar : TASARIM<br />Dezavantajlar : YÜKSEK SESTE AÇINCA BİRAZ BOZULMA<br />ÇOK YÜKSEK SES İLE DİNLENİLDİĞİNDE SESİ BİRAZ BOZUYOR. BU DA DİNLEME KALİTESİNİ 0 ETKİLİYOR. TABİ BU 0 DURUM DİNLEDİĞİNİZ MÜZİK TÜRÜNE DE BAĞLI. FİYATINDAN DA ANLAŞILACAĞI GİBİ GENEL OLARAK ORTA SEVİYE BİR SES SİSTEMİ,2
Ürünü montaj yapsalar anlayacağım nasıl ya Aras kargo geç getirdi . Ben 12 gün önce aldığım üründen hala montaj bekliyorum .,2
Bileşenlerin hepsi 2000li yıllardan kalma tavsiye etmem,0
Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza için değerli bir para.,0
Teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı.İnternetten almada terettüt etmiştim ama sıkıntı yaşamadım, cihaz 2 yıl Apple Türkiye garantıli, tavsiye ederim.,1
Görüntü estetik gayet güzel, güzel iş göreceğine eminim ama dış malzemesi biraz daha kaliteli tutulabilirdi. Çok tel maşa duruyor.,2
guzel urun, keske gri metal renkli olsaydi sapi daha guzel olurdu, siyah cikti, bundan haric urun guzel. tesekkurler,1
3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz daha hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl TV kumandasina ozen gosteyirsaniz buda öyle. bu süpürgenin bir üst modelini anneme aldık gece mavisi olani şu LED'li olan.almaz olaydik berbat.. çekmiyor ve çok çok hassas halıya yapismiyor bile cektimi çekmedi ki diye süpürgenin yüzüne bakıyoruz kendine hayrı yok.,1
çalışma süresinin kısalığı beni şaşırttı bu da motor gücünün zayıflığını gösterir sanırım,2
Ürün fena değil ama renkleri bana soluk geldi.,2
ürün tam istediğim gibi değil ama idare eder.pişirme süresi baya uzun oldu aynı yağla tencerede yapsanız daha çabuk olurdu.,0
fiyatı da kullanısı da cok iyi,1
Sesi çok yüksek. Mikseri çalıştırırken yanında konuşurken kendinizi de karşınızdakini de duyamıyorsunuz.,2
Firma farklı ürün gönderdi. eksi not....,0
Daha öncede uzun süre kullandığım bir ürün,1
bugün ilk defa kullanıldı. ilk izlenim mükemmel olduğu yönünde.,1
İşletim sistemini kurup güncellemeleri aldığımda bozuldu.,0
Birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu. Size farklı pişirme seçenekleri sunuyor. Üstelik temizlemesi de bir o kadar kolay, herkese tavsiye ederim.,1
fiyatına göre iyi bir ürün fazla birşey beklemeyin.,2
Şipariş ettiğim gün elime ulaştı.ancak sesi çok beğenmedim.,0
kullanmadım daha,2
Pratik, güzel bir ürün. Çekiş gücü gayet iyi. Benim gibi tek yaşayanların ufak tefek işlerini çok rahat görüyor. Tek handikapı B sınıfı olması, o konuda takıntılı olduğum için 4 puan veriyorum.,1
Ürün garantiye gitti geldi şuan için memnunum ancak mağaza berbat,0
